course,num,len,c,alpha,h,pv
00510888X+2015_T1,209,30,0.365627805990934,1.30045157129111,0,0.98982639706496
00612642X+_,130,25,0.36130952816548,1.26582691967074,0,0.982029719094076
00612642_2015X+2015_T1,189,31,0.372130676437249,1.32059921936205,0,0.661823276659791
00680142X+2015_T2,2087,57,0.253066849042736,1.09431468063827,1,0.000235722647304981
00690092X+2015_T1,246,30,0.445979410140907,1.50407091840177,0,0.892176128271287
00690342X+2015_T1,2345,103,0.3501732829448,1.36054608659125,1,2.30031079695436e-06
00691153X+_,149,25,0.480049728208588,1.57706678057949,0,0.425770241321043
00691153_2015X+2015_T2,2479,125,0.296906720831225,1.25599994304852,0,0.999999999999063
00701032X+2015_T1,1757,81,0.434651157682727,1.53747682223521,0,0.993981067479004
00740043_2X+2015_T1,200,35,0.335981660637772,1.24438018058728,0,0.996705159705162
00740113X+2015_T2,285,35,0.328283438938044,1.2252461406958,1,0.00192090409754864
01030132X_2015X+2015_T2,527,96,0.154215829639255,0.891506003200417,0,0.999595712022277
10421075_2015X+2015_T1,132,23,0.378591992058918,1.29914822839333,0,0.243069754203618
10421094_2015X+2015_T1,163,30,0.309842517827263,1.15850043875549,0,0.945952513960558
10430494_2015X+2015_T1,109,22,0.321689093357819,1.14068452087317,0,0.8127262077721
10450012X+2015_T2,848,75,0.293777694192179,1.21582080838147,0,0.0649274928112001
10450034_1X+2015_T2,1759,14,0.35727038461076,1.14704230270499,1,0
10610204X+_,113,19,0.346134016190848,1.18064555286181,0,0.0768719869534129
10610224X+2015_T2,153,39,0.247170534811985,1.03233510719254,1,0.000224827561627117
20120143X+2015_T2,553,58,0.292571632672225,1.19136158273435,1,3.17092213961701e-05
20140064X+2015_T2,517,45,0.285947509540479,1.1494743301394,0,0.947048997868901
20220053X+2015_T1,408,39,0.39761108184316,1.40612556564685,0,0.549924192513751
20220214X+_,210,33,0.374683984360025,1.33382684990959,0,0.441283594853686
20220214_2015X+2015_T1,507,54,0.325034783882286,1.26131046676644,0,0.838882818869869
20250064X+_,141,31,0.241377487658292,0.980765415012988,0,0.94177515066351
20250064_1X+2015_T1,211,37,0.41884663897647,1.45375904497631,0,0.0362734364472699
20250064_2015X+2015_T1,837,68,0.303976606161308,1.23152380953133,0,0.663842253421218
20250103X+2015_T2,2907,151,0.278493231221657,1.2267805791784,0,0.0288672320844243
20350033X+2015_T2,788,43,0.378837128111846,1.36908093256356,1,1.27075083788952e-09
20440333_2015X+2015_T1,139,27,0.355306441991109,1.26088309295338,0,0.885811208015387
20740042X+2015_T2,2801,43,0.293426138013313,1.16278257201536,1,0
20740084X+2015_T2,1579,93,0.349288123780222,1.35335766545978,1,5.56621616576436e-08
30130274X+2015_T2,502,72,0.32019627028836,1.27279424170778,0,0.278471560147443
30240184X+2014_T2,154,24,0.367216803443713,1.2754327382991,0,0.0465615265301674
